lsoa11,ah3h,ah3g,ah3e,ah3r,ah3ahah
E01000001,-2.094345474,1.181442936,2.731232766,1.923184031,64.76672219
E01000002,-1.192991479,1.411214907,2.710355855,1.66233809,65.80175581
E01000003,-2.590538762,1.07497536,2.710355855,2.089947432,64.26735954
E01000005,-1.632323243,1.369772033,2.434318083,2.004053436,67.73921558
E01000006,-0.739517568,0.25689832,2.023190977,1.219194517,42.07204562
E01000007,-2.031865676,0.25173593,2.10996447,1.305799518,42.41397662
E01000008,-0.071972415,-0.909165829,2.400326905,-0.007449905,31.54223871
E01000009,-1.345510718,0.491130701,2.0212236,2.420850435,54.35274042
E01000010,-2.435707755,0.805266448,2.263980654,1.721762961,54.3917794
E01000011,-0.92538838,-0.157445014,2.0212236,1.34523796,40.0488154
E01000012,-1.604229956,0.253553239,2.10996447,1.02326079,39.75038764
E01000013,-0.892868605,0.598976702,1.742093257,0.883245543,39.72754321
E01000014,-0.603043651,0.240170023,1.758335139,0.354353571,32.45936461
E01000015,-0.379348562,0.360001923,1.759402288,0.397144551,34.63504523
E01000016,-0.856738298,0.472561453,1.683409667,0.479346212,34.25932586
E01000017,-0.882669028,0.469571227,1.683409667,0.451885231,33.9501915
E01000018,-0.898066666,0.336462965,1.759402288,0.580408712,34.436427
E01000019,-0.917776507,-0.640166624,1.56784872,0.521467628,26.23945498
E01000020,-0.982792744,-0.093061472,1.56784872,0.550000791,28.50593449
E01000021,-0.968826107,0.081219493,1.56784872,0.645529044,30.45828085
E01000022,-1.265475977,0.095987796,1.56784872,0.543118921,29.37230601
E01000023,-0.342917672,-0.207402804,1.56784872,0.749178755,31.17330729
E01000024,-1.168988923,0.286604545,1.56784872,0.685581277,32.25683283
E01000025,-0.856985011,0.452030293,1.56784872,0.59082858,33.68321194
E01000027,-0.716266766,0.155975247,1.048273504,0.136744359,22.19610967
E01000028,-0.491002285,0.004223284,1.369500399,-0.0816021,23.88854516
E01000029,-0.48730638,0.839521007,1.423310317,0.338478699,36.43948275
E01000030,-0.507962679,-0.066533725,1.394933885,0.179308622,25.06812959
E01000031,-1.30034147,0.779553436,1.328888899,0.697729169,35.71361467
E01000032,-1.275477395,0.842590488,1.521428685,1.309863448,44.49510409
E01000033,-0.236930108,0.136472905,1.556429848,0.127970725,29.09043715
E01000034,0.12155998,-0.010226983,1.379437156,-0.190389974,26.34684853
E01000035,-0.505403206,0.654189885,1.634332199,1.110758562,42.39205546
E01000036,-0.627174293,0.601224169,1.697272896,1.487783065,45.92045641
E01000037,-0.022007814,0.093452755,1.235940845,-0.203428198,24.55348295
E01000038,-0.473355685,0.047059571,1.241126807,0.341956021,25.34185579
E01000039,0.420653639,-0.488351898,1.499211234,-0.672662715,26.13969952
E01000040,-0.429164028,0.153276488,2.335332088,0.4363222,36.78815621
E01000041,-0.480997239,-0.334138484,1.945920028,0.622553553,32.91338091
E01000042,-0.380418337,-0.864503184,1.931566496,0.070145137,27.92677686
E01000043,-0.23903797,-0.116525865,1.917560218,0.248036815,31.87488927
E01000044,-0.239334908,0.534003304,2.240256747,0.205304468,39.47892255
E01000045,-0.422133959,-0.17561447,1.741933496,0.932613937,34.49293019
E01000046,-0.469617,0.022862106,1.671888245,0.181556521,28.97911793
E01000048,-0.863580209,0.066679679,2.284623235,0.173744179,33.04147855
E01000049,-0.887090732,0.133573453,2.438852821,0.855626391,39.40647503
E01000050,-1.314996048,0.500811685,2.335048501,1.260315268,45.78751337
E01000051,-1.100366122,0.967234007,2.284623235,0.949386488,50.06661627
E01000052,-0.460549697,0.265535781,2.438852821,0.583018693,39.34973117
E01000053,-0.961932609,0.688803461,1.690352696,0.473382195,36.99764038
E01000054,-1.159346349,0.058115677,1.569715401,0.152335386,26.55450333
E01000055,-0.66080736,0.173977801,1.605538072,0.018812111,27.9661135
E01000056,-0.298249897,0.390374182,1.569715401,0.039282912,30.94366666
E01000057,-1.846721091,-0.085119255,1.605538072,0.395781862,27.16402764
E01000058,-0.799721577,0.100932349,1.761328492,0.250971305,30.22017847
E01000059,-0.505024311,0.428502089,1.531292829,0.426624983,32.4657627
E01000060,-0.70332607,0.06098772,1.514392074,0.46497046,28.60832941
E01000061,-1.022090705,0.333688751,1.378836046,0.518859529,29.3548418
E01000062,-0.808507716,0.363598346,1.596624471,0.620263251,33.39030273
E01000063,-1.556548996,0.189288218,1.613844009,0.959652806,33.97357638
E01000064,-0.626112493,0.552888348,1.596624471,0.386392794,34.15507499
E01000065,-1.192690335,0.433600465,1.626226632,0.665236643,34.27820028
E01000066,-0.217412206,-0.688608692,1.869869001,0.260307826,29.49178705
E01000067,-0.408349149,-0.443624741,1.790720874,0.536984223,30.70017344
E01000068,-0.619856923,0.19928802,2.182517294,0.987935854,40.62387506
E01000069,-0.736125124,-0.255022625,2.011274564,0.430028676,31.7226857
E01000070,-0.986886204,-0.293730644,2.127169936,1.361068256,40.23270109
E01000071,-0.394279482,-0.102195163,2.049400637,0.206884345,32.30548256
