2021 super output area - lower layer,mnemonic,Total: All usual residents aged 16 years and over in employment the week before the census,%,Less than 2km,%,2km to less than 5km,%,5km to less than 10km,%,10km to less than 20km,%,20km to less than 30km,%,30km to less than 40km,%,40km to less than 60km,%,60km and over,%,Works mainly from home,%,"Works mainly at an offshore installation, in no fixed place, or outside the UK",%
Bradford 001A,E01010646,563,100,17,3,26,4.6,64,11.4,66,11.7,41,7.3,11,2,2,0.4,4,0.7,265,47.1,67,11.9
Bradford 001B,E01010647,418,100,24,5.7,30,7.2,62,14.8,59,14.1,34,8.1,6,1.4,2,0.5,4,1,160,38.3,37,8.9
Bradford 001C,E01010648,586,100,22,3.8,18,3.1,75,12.8,77,13.1,51,8.7,12,2,8,1.4,6,1,236,40.3,81,13.8
Bradford 001D,E01010692,803,100,62,7.7,9,1.1,62,7.7,94,11.7,55,6.8,6,0.7,2,0.2,12,1.5,436,54.3,65,8.1
Bradford 002A,E01010691,668,100,58,8.7,10,1.5,43,6.4,91,13.6,35,5.2,5,0.7,4,0.6,6,0.9,372,55.7,44,6.6
Bradford 002B,E01010693,612,100,30,4.9,11,1.8,53,8.7,77,12.6,44,7.2,4,0.7,3,0.5,6,1,334,54.6,50,8.2
Bradford 002C,E01010694,594,100,50,8.4,14,2.4,37,6.2,77,13,37,6.2,8,1.3,5,0.8,7,1.2,315,53,44,7.4
Bradford 002D,E01010695,748,100,131,17.5,4,0.5,66,8.8,107,14.3,51,6.8,7,0.9,2,0.3,7,0.9,326,43.6,47,6.3
Bradford 002E,E01010696,753,100,75,10,16,2.1,44,5.8,109,14.5,51,6.8,8,1.1,2,0.3,11,1.5,386,51.3,51,6.8
Bradford 002F,E01010697,600,100,52,8.7,5,0.8,47,7.8,85,14.2,40,6.7,2,0.3,7,1.2,8,1.3,307,51.2,47,7.8
Bradford 002G,E01010698,943,100,149,15.8,6,0.6,58,6.2,131,13.9,70,7.4,9,1,5,0.5,6,0.6,379,40.2,130,13.8
Bradford 002H,E01010699,878,100,128,14.6,28,3.2,67,7.6,131,14.9,51,5.8,9,1,3,0.3,5,0.6,296,33.7,160,18.2
Bradford 003A,E01010767,635,100,35,5.5,61,9.6,55,8.7,126,19.8,20,3.1,3,0.5,1,0.2,2,0.3,252,39.7,80,12.6
Bradford 003B,E01010768,807,100,24,3,58,7.2,66,8.2,164,20.3,11,1.4,3,0.4,4,0.5,5,0.6,411,50.9,61,7.6
Bradford 003C,E01010769,792,100,37,4.7,65,8.2,85,10.7,143,18.1,17,2.1,10,1.3,6,0.8,4,0.5,333,42,92,11.6
