LSOA code,number of crimes,crime_rate(%)
E01010568,113,0.13787045058015396
E01010569,396,0.483156623272044
E01010570,79,0.09638730615780676
E01010571,256,0.3123436756506143
E01010572,56,0.06832517904857188
E01010573,115,0.1403106355461744
E01010574,70,0.08540647381071485
E01010575,137,0.16715267017239907
E01010576,46,0.05612425421846976
E01010577,55,0.06710508656556168
E01010578,493,0.6015055941240346
E01010579,52,0.06344480911653104
E01010580,79,0.09638730615780676
E01010581,92,0.11224850843693952
E01010582,180,0.2196166469418382
E01010583,238,0.29038201095643046
E01010584,199,0.24279840411903222
E01010585,232,0.28306145605836924
E01010586,48,0.05856443918449019
E01010587,150,0.18301387245153183
E01010588,107,0.1305498956820927
E01010589,41,0.050023791803418705
E01010590,153,0.18667414990056247
E01010591,122,0.1488512829272459
E01010592,214,0.2610997913641854
E01010593,126,0.15373165285928672
E01010594,127,0.15495174534229694
E01010595,297,0.36236746745403303
E01010596,129,0.15739193030831738
E01010597,251,0.30624321323556325
E01010598,203,0.24767877405107308
E01010599,138,0.1683727626554093
E01010600,89,0.10858823098790887
E01010601,197,0.2403582191530118
E01010602,205,0.2501189590170935
E01010603,203,0.24767877405107308
E01010604,125,0.15251156037627653
E01010605,262,0.3196642305486756
E01010606,247,0.3013628433035224
E01010607,344,0.419711814155513
E01010608,343,0.41849172167250276
E01010609,349,0.4258122765705641
E01010610,399,0.48681690072107464
E01010611,544,0.6637303107575554
E01010612,504,0.6149266114371469
E01010613,515,0.6283476287502593
E01010614,319,0.38920950208025773
E01010615,341,0.41605153670648237
E01010616,324,0.39530996449530875
E01010617,372,0.4538744036797989
E01010618,314,0.38310903966520665
E01010619,191,0.23303766425495054
E01010620,300,0.36602774490306367
E01010621,123,0.15007137541025609
E01010622,317,0.38676931711423723
E01010623,309,0.3770085772501556
E01010624,275,0.33552543282780833
E01010625,318,0.3879894095972475
E01010626,242,0.29526238088847134
E01010627,524,0.6393284610973512
E01010628,269,0.32820487792974706
E01010629,290,0.35382682007296157
E01010630,183,0.22327692439086883
E01010631,171,0.20863581459474628
E01010632,405,0.49413745561913597
E01010633,211,0.25743951391515474
E01010634,106,0.1293298031990825
E01010635,349,0.4258122765705641
E01010636,215,0.2623198838471956
E01010637,144,0.17569331755347056
E01010638,70,0.08540647381071485
E01010639,119,0.14519100547821523
E01010640,114,0.13909054306316418
E01010641,42,0.05124388428642891
E01010642,110,0.13421017313112335
E01010643,74,0.0902868437427557
E01010644,162,0.19765498224765438
E01010645,188,0.2293773868059199
E01010646,53,0.06466490159954125
E01010647,18,0.02196166469418382
E01010648,29,0.035382682007296155
E01010649,261,0.3184441380656654
E01010650,433,0.5283000451434219
E01010651,181,0.22083673942484838
E01010652,193,0.23547784922097098
E01010653,519,0.6332279986823002
E01010654,642,0.7832993740925562
E01010655,540,0.6588499408255146
E01010656,148,0.1805736874855114
E01010657,159,0.19399470479862374
E01010658,363,0.442893571332707
E01010659,450,0.5490416173545956
E01010662,288,0.3513866351069411
E01010663,514,0.627127536267249
E01010664,116,0.14153072802918462
E01010665,187,0.22815729432290968
E01010666,352,0.4294725540195947
E01010667,177,0.21595636949280753
E01010668,98,0.1195690633350008
E01010669,266,0.3245446004807165
E01010670,251,0.30624321323556325
E01010671,109,0.13299008064811313
E01010672,91,0.1110284159539293
E01010673,254,0.3099034906845939
E01010674,286,0.3489464501409207
E01010675,171,0.20863581459474628
E01010676,249,0.30380302826954286
E01010677,424,0.51731921279633
E01010678,54,0.06588499408255145
E01010679,417,0.5087785654152585
E01010680,654,0.7979404838886787
E01010681,66,0.080526103878674
E01010682,309,0.3770085772501556
E01010683,124,0.1512914678932663
E01010684,117,0.14275082051219481
E01010685,240,0.2928221959224509
E01010686,88,0.10736813850489868
E01010687,107,0.1305498956820927
E01010688,408,0.4977977330681666
E01010689,269,0.32820487792974706
E01010690,277,0.3379656177938288
E01010691,75,0.09150693622576592
E01010692,152,0.18545405741755225
E01010693,31,0.03782286697331658
E01010694,78,0.09516721367479655
E01010695,298,0.3635875599370432
E01010696,73,0.08906675125974549
E01010697,36,0.04392332938836764
E01010698,199,0.24279840411903222
E01010699,162,0.19765498224765438
E01010700,365,0.44533375629872746
E01010701,254,0.3099034906845939
E01010702,279,0.34040580275984916
E01010703,191,0.23303766425495054
E01010704,287,0.3501665426239309
E01010705,71,0.08662656629372506
E01010706,64,0.07808591891265358
E01010707,68,0.08296628884469442
E01010708,171,0.20863581459474628
E01010709,152,0.18545405741755225
E01010710,1724,2.1034394407096055
E01010711,469,0.5722233745317895
E01010712,316,0.38554922463122704
E01010713,370,0.4514342187137785
E01010714,161,0.19643488976464415
E01010715,145,0.17691341003648078
E01010716,286,0.3489464501409207
E01010717,282,0.34406608020887985
E01010718,357,0.4355730164346458
E01010719,146,0.17813350251949098
E01010720,265,0.32332450799770623
E01010721,481,0.586864484327912
E01010722,171,0.20863581459474628
E01010723,193,0.23547784922097098
E01010724,282,0.34406608020887985
E01010725,190,0.2318175717719403
E01010726,86,0.10492795353887825
E01010727,187,0.22815729432290968
E01010728,317,0.38676931711423723
E01010729,75,0.09150693622576592
E01010730,1285,1.5678188406681226
E01010731,419,0.511218750381279
E01010732,268,0.32698478544673687
E01010733,391,0.47705616085699293
E01010734,376,0.4587547736118398
E01010735,378,0.46119495857786025
E01010736,426,0.5197593977623505
E01010737,248,0.3025829357865326
E01010738,269,0.32820487792974706
E01010739,302,0.3684679298690841
E01010740,164,0.20009516721367482
E01010741,304,0.3709081148351045
E01010742,345,0.4209319066385232
E01010743,251,0.30624321323556325
E01010744,161,0.19643488976464415
E01010745,350,0.4270323690535743
E01010746,313,0.3818889471821964
E01010747,157,0.19155451983260333
E01010748,245,0.298922658337502
E01010749,267,0.3257646929637266
E01010750,144,0.17569331755347056
E01010751,209,0.25499932894913435
E01010752,300,0.36602774490306367
E01010753,49,0.0597845316675004
E01010754,104,0.12688961823306208
E01010755,370,0.4514342187137785
E01010756,232,0.28306145605836924
E01010758,42,0.05124388428642891
E01010759,257,0.3135637681336245
E01010760,149,0.1817937799685216
E01010761,190,0.2318175717719403
E01010762,234,0.28550164102438963
E01010763,124,0.1512914678932663
E01010764,70,0.08540647381071485
E01010765,155,0.18911433486658288
E01010766,28,0.03416258952428594
E01010767,77,0.09394712119178633
E01010768,46,0.05612425421846976
E01010769,81,0.09882749112382719
E01010770,30,0.03660277449030636
E01010771,36,0.04392332938836764
E01010772,18,0.02196166469418382
E01010773,71,0.08662656629372506
E01010774,59,0.07198545649760252
E01010775,151,0.18423396493454205
E01010776,234,0.28550164102438963
E01010777,369,0.4502141262307683
E01010778,284,0.34650626517490024
E01010779,223,0.2720806237112773
E01010781,244,0.2977025658544918
E01010782,591,0.7210746574590354
E01010783,99,0.120789155818011
E01010784,276,0.3367455253108186
E01010785,164,0.20009516721367482
E01010786,127,0.15495174534229694
E01010787,216,0.2635399763302058
E01010788,231,0.281841363575359
E01010789,139,0.1695928551384195
E01010790,48,0.05856443918449019
E01010791,140,0.1708129476214297
E01010792,232,0.28306145605836924
E01010793,284,0.34650626517490024
E01010794,342,0.41727162918949257
E01010795,251,0.30624321323556325
